month,outdoor_temp,indoor_temp,occupancy,occupancy_rate,load_wall_kW,load_window_kW,load_solar_kW,load_lighting_kW,load_oa_equipment_kW,load_person_sensible_kW,load_person_latent_kW,load_outdoor_air_latent_kW,sensible_load_kW,latent_load_kW,total_load_kW,shf,central_ahu_fan_kWh,central_chiller_kWh,central_total_kWh,local_fan_kWh,local_compressor_kWh,local_total_kWh,lighting_kWh,oa_equipment_kWh,outdoor_enthalpy,indoor_enthalpy
1,5.2,22.0,50,0.85,-2.016,-3.78,7.2,6.8,10.2,3.0,2.0,0.0,21.404,2.0,23.404,0.9145445223038797,1600.0,1040.177777777778,2640.177777777778,1000.0,1170.2,2170.2,1360.0,2040.0,12.349653813704357,40.89967494123235
2,5.7,22.0,50,0.85,-1.956,-3.6675,9.0,6.8,10.2,3.0,2.0,0.0,23.3765,2.0,25.3765,0.9211869249108428,1440.0,1015.0600000000001,2455.06,900.0,1141.9425,2041.9425,1224.0,1836.0,13.250723787922215,40.89967494123235
3,8.7,22.0,50,0.85,-1.596,-2.9925,10.8,6.8,10.2,3.0,2.0,0.0,26.2115,2.0,28.2115,0.9291069244811513,1600.0,1253.8444444444444,2853.8444444444444,1000.0,1410.575,2410.575,1360.0,2040.0,18.36594936304792,43.01502414670526
4,13.9,24.0,50,0.8,-1.212,-2.2725,12.0,6.4,9.6,3.0,2.0,0.0,27.5155,2.0,29.5155,0.9322389930714371,1600.0,1311.8,2911.8,1000.0,1475.7749999999999,2475.7749999999996,1280.0,1920.0,28.895409161088836,47.787743983952566
5,18.2,24.0,50,0.8,-0.6960000000000001,-1.3050000000000002,13.2,6.4,9.6,3.0,2.0,0.0,30.198999999999998,2.0,32.199,0.9378862697599304,1600.0,1431.0666666666666,3031.0666666666666,1000.0,1609.9499999999998,2609.95,1280.0,1920.0,39.72321700781956,50.193496970161014
6,21.4,26.0,50,0.75,-0.5520000000000003,-1.0350000000000001,12.0,6.0,9.0,3.0,2.0,0.0,28.413,2.0,30.413,0.9342386479466018,1600.0,1351.6888888888889,2951.688888888889,1000.0,1520.65,2520.65,1200.0,1800.0,51.90200652105343,58.34041866780624
7,25.0,26.0,50,0.7,-0.12,-0.225,13.2,5.6,8.4,3.0,2.0,3.646012143567641,29.854999999999997,5.646012143567641,35.501012143567635,0.8409619387544524,1600.0,1577.8227619363395,3177.8227619363397,1000.0,1775.0506071783818,2775.050607178382,1120.0,1680.0,64.73867289926068,58.34041866780624
8,26.4,26.0,50,0.6,0.04799999999999983,0.08999999999999969,12.0,4.8,7.2,3.0,2.0,5.095004995741611,27.137999999999998,7.095004995741611,34.23300499574161,0.7927437279717574,1440.0,1369.3201998296643,2809.3201998296645,900.0,1540.4852248083723,2440.4852248083725,864.0,1296.0,69.14032164408457,58.34041866780624
9,22.8,26.0,50,0.75,-0.3839999999999999,-0.7199999999999999,10.8,6.0,9.0,3.0,2.0,0.5188318211975068,27.696,2.518831821197507,30.214831821197507,0.91663591456993,1600.0,1342.8814142754447,2942.8814142754445,1000.0,1510.7415910598754,2510.7415910598756,1200.0,1800.0,56.10489852817922,58.34041866780624
10,17.5,24.0,50,0.85,-0.78,-1.4625,9.0,6.8,10.2,3.0,2.0,0.0,26.7575,2.0,28.7575,0.9304529253238286,1600.0,1278.111111111111,2878.1111111111113,1000.0,1437.875,2437.875,1360.0,2040.0,39.03171005614239,50.193496970161014
11,12.1,22.0,50,0.85,-1.188,-2.2275,7.2,6.8,10.2,3.0,2.0,0.0,23.7845,2.0,25.7845,0.9224340204386356,1600.0,1145.9777777777779,2745.977777777778,1000.0,1289.2250000000001,2289.2250000000004,1360.0,2040.0,25.39705240568273,43.01502414670526
12,7.6,22.0,50,0.8,-1.728,-3.24,6.0,6.4,9.6,3.0,2.0,0.0,20.032,2.0,22.032,0.9092229484386347,1440.0,881.2800000000001,2321.28,900.0,991.44,1891.44,1152.0,1728.0,16.718632363512175,40.89967494123235
