month,outdoor_temp,indoor_temp,occupancy,occupancy_rate,load_wall_kW,load_window_kW,load_solar_kW,load_lighting_kW,load_oa_equipment_kW,load_person_sensible_kW,load_person_latent_kW,load_outdoor_air_latent_kW,sensible_load_kW,latent_load_kW,total_load_kW,shf,central_ahu_fan_kWh,central_chiller_kWh,central_total_kWh,local_fan_kWh,local_compressor_kWh,local_total_kWh,lighting_kWh,oa_equipment_kWh,outdoor_enthalpy,indoor_enthalpy
1,5.2,22.0,50,0.85,-5.376,-13.44,16.8,12.75,17.0,3.0,2.0,0.0,30.734,2.0,32.734,0.9389014480356815,3000.0,2182.266666666667,5182.266666666666,1600.0,2618.7200000000003,4218.72,2550.0,3400.0,12.349653813704357,40.89967494123235
2,5.7,22.0,50,0.85,-5.216,-13.04,21.0,12.75,17.0,3.0,2.0,0.0,35.494,2.0,37.494,0.9466581319677815,2700.0,2249.64,4949.639999999999,1440.0,2699.568,4139.568,2295.0,3060.0,13.250723787922215,40.89967494123235
3,8.7,22.0,50,0.85,-4.256,-10.64,25.2,12.75,17.0,3.0,2.0,0.0,43.054,2.0,45.054,0.9556088249655968,3000.0,3003.6000000000004,6003.6,1600.0,3604.3200000000006,5204.320000000001,2550.0,3400.0,18.36594936304792,43.01502414670526
4,13.9,24.0,50,0.8,-3.232,-8.08,28.0,12.0,16.0,3.0,2.0,0.0,47.688,2.0,49.688,0.9597488327161487,3000.0,3312.5333333333333,6312.533333333333,1600.0,3975.04,5575.04,2400.0,3200.0,28.895409161088836,47.787743983952566
5,18.2,24.0,50,0.8,-1.8560000000000003,-4.640000000000001,30.8,12.0,16.0,3.0,2.0,0.0,55.304,2.0,57.304,0.9650984224486947,3000.0,3820.266666666667,6820.266666666666,1600.0,4584.320000000001,6184.320000000001,2400.0,3200.0,39.72321700781956,50.193496970161014
6,21.4,26.0,50,0.75,-1.4720000000000004,-3.680000000000001,28.0,11.25,15.0,3.0,2.0,0.0,52.098,2.0,54.098,0.9630300565640134,3000.0,3606.5333333333333,6606.533333333333,1600.0,4327.84,5927.84,2250.0,3000.0,51.90200652105343,58.34041866780624
7,25.0,26.0,50,0.7,-0.32,-0.8,30.8,10.5,14.0,3.0,2.0,3.646012143567641,57.18,5.646012143567641,62.82601214356764,0.9101325716700658,3000.0,4188.400809571176,7188.400809571176,1600.0,5026.080971485411,6626.080971485411,2100.0,2800.0,64.73867289926068,58.34041866780624
8,26.4,26.0,50,0.6,0.12799999999999956,0.31999999999999884,28.0,9.0,12.0,3.0,2.0,5.095004995741611,52.44799999999999,7.095004995741611,59.543004995741605,0.8808423425010372,2700.0,3572.5802997444966,6272.580299744497,1440.0,4287.096359693396,5727.096359693396,1620.0,2160.0,69.14032164408457,58.34041866780624
9,22.8,26.0,50,0.75,-1.0239999999999998,-2.5599999999999996,25.2,11.25,15.0,3.0,2.0,0.5188318211975068,50.866,2.518831821197507,53.38483182119751,0.9528174626524278,3000.0,3558.988788079834,6558.988788079834,1600.0,4270.786545695801,5870.786545695801,2250.0,3000.0,56.10489852817922,58.34041866780624
10,17.5,24.0,50,0.85,-2.08,-5.2,21.0,12.75,17.0,3.0,2.0,0.0,46.47,2.0,48.47,0.958737363317516,3000.0,3231.3333333333335,6231.333333333334,1600.0,3877.6,5477.6,2550.0,3400.0,39.03171005614239,50.193496970161014
11,12.1,22.0,50,0.85,-3.168,-7.92,16.8,12.75,17.0,3.0,2.0,0.0,38.462,2.0,40.462,0.9505709060352924,3000.0,2697.4666666666667,5697.466666666667,1600.0,3236.96,4836.96,2550.0,3400.0,25.39705240568273,43.01502414670526
12,7.6,22.0,50,0.8,-4.608,-11.52,14.0,12.0,16.0,3.0,2.0,0.0,28.872,2.0,30.872,0.9352163772998187,2700.0,1852.32,4552.32,1440.0,2222.784,3662.784,2160.0,2880.0,16.718632363512175,40.89967494123235
